Timestamp,Quat_w,Quat_x,Quat_y,Quat_z,X Angle,Y Angle,Z Angle
3.729851,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
3.746272,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
3.762647,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
3.779299,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
3.795135,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
3.812378,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
3.836208,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
3.853999,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
3.861862,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
3.878919,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
3.896267,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
3.912473,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
3.928819,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
3.945827,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
3.963203,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
3.979063,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
3.99522,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.012352,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.029743,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.045363,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.069602,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.079368,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.094196,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.111703,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.12791,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.143944,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.161249,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.177581,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.193829,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.210548,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.228426,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.24403,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.26069,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.276701,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.294856,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.310079,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.32886,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
4.345178,0.9589841,0.04522453,0.2795184,-0.01318175,5.4,32.5,-6.431846E-07
